trial_id,U_exp,K_exp,D_exp,base_level_fall,divide_migration_distance,relief_at_steady_state,time_back_to_steady_state
1,-4.560546875,-6.806640625,-1.962890625,1.0302734375,0.0,1398.16316702,52939000
2,-4.439453125,-6.806640625,-1.962890625,1.0302734375,0.0,1847.80397634,52936000
3,-4.560546875,-5.185546875,-1.962890625,1.0302734375,1300.0,33.7487578011,10284000
4,-4.560546875,-6.806640625,-2.908203125,1.0302734375,0.0,1397.4089922,52938000
5,-4.560546875,-6.806640625,-1.962890625,1.6982421875,0.0,1398.16316702,52945000
6,-4.560546875,-5.185546875,-2.908203125,1.6982421875,2900.0,35.1437922835,9693000
7,-4.439453125,-6.806640625,-2.908203125,1.6982421875,0.0,1846.94530186,52944000
8,-4.439453125,-5.185546875,-1.962890625,1.6982421875,3500.0,43.693921384300005,22718000
9,-4.439453125,-5.185546875,-2.908203125,1.0302734375,0.0,50.1418403747,3211000
10,-4.439453125,-5.185546875,-2.908203125,1.6982421875,0.0,50.1418403747,3211000
11,-3.560546875,-5.806640625,-2.962890625,-0.4697265625,0.0,2124.76659433,9716000
12,-3.439453125,-5.806640625,-2.962890625,-0.4697265625,0.0,2759.73442525,9552000
13,-3.560546875,-6.185546875,-2.962890625,-0.4697265625,0.0,5292.03811602,21479000
14,-3.560546875,-5.806640625,-1.908203125,-0.4697265625,0.0,2009.57059307,9298000
15,-3.560546875,-5.806640625,-2.962890625,0.1982421875,0.0,2124.76659433,9716000
16,-3.560546875,-6.185546875,-1.908203125,0.1982421875,0.0,4683.70501215,19261000
17,-3.439453125,-5.806640625,-1.908203125,0.1982421875,0.0,2625.70652503,9226000
18,-3.439453125,-6.185546875,-2.962890625,0.1982421875,0.0,6987.30573907,21498000
19,-3.439453125,-6.185546875,-1.908203125,-0.4697265625,0.0,6061.35275655,19049000
20,-3.439453125,-6.185546875,-1.908203125,0.1982421875,0.0,6061.35275655,19049000
21,-3.060546875,-6.306640625,-1.462890625,1.7802734375,0.0,16632.7199655,21761000
22,-3.939453125,-6.306640625,-1.462890625,1.7802734375,0.0,2207.26175921,21725000
23,-3.060546875,-6.685546875,-1.462890625,1.7802734375,0.0,34438.5381149,44084000
24,-3.060546875,-6.306640625,-2.408203125,1.7802734375,0.0,20048.6139254,25490000
25,-3.060546875,-6.306640625,-1.462890625,-0.5517578125,0.0,16632.7199655,21761000
26,-3.060546875,-6.685546875,-2.408203125,-0.5517578125,0.0,44449.2396226,55081000
27,-3.939453125,-6.306640625,-2.408203125,-0.5517578125,0.0,2848.92654822,27239000
